# Element stress/strain results
# ElemID CenterX CenterY StrainX StrainY ShearXY StressX StressY ShearXY VonMises
114 0.725 0.275 1.27521e-05 1.7882e-06 3.75747e-05 3.0666e+06 1.2955e+06 3.03488e+06 5.89415e+06
115 0.775 0.275 9.62292e-06 5.07852e-06 3.59271e-05 2.57226e+06 1.83817e+06 2.90181e+06 5.52527e+06
116 0.825 0.275 5.31773e-06 8.50484e-06 3.10165e-05 1.81597e+06 2.33081e+06 2.50518e+06 4.82965e+06
117 0.875 0.275 1.07624e-06 1.02232e-05 2.15361e-05 956120 2.4337e+06 1.73945e+06 3.68609e+06
118 0.925 0.275 -1.14071e-06 7.61878e-06 9.15384e-06 264213 1.67921e+06 739349 2.02133e+06
119 0.975 0.275 2.08692e-07 -3.19846e-07 5.16024e-07 26016.5 -59362.7 41678.9 104674
120 0.025 0.325 1.15855e-06 -3.57205e-07 2.09819e-05 242627 -2224.9 1.69469e+06 2.94539e+06
121 0.075 0.325 1.71657e-06 -7.29861e-07 2.7123e-05 345603 -49590 2.1907e+06 3.81268e+06
122 0.125 0.325 2.46216e-06 -7.88046e-07 3.08926e-05 513635 -11399.3 2.49517e+06 4.35286e+06
123 0.175 0.325 3.62558e-06 -1.01622e-06 3.2733e-05 766318 16490.2 2.64382e+06 4.64157e+06
124 0.225 0.325 5.14278e-06 -1.47717e-06 3.34887e-05 1.08453e+06 15152.4 2.70485e+06 4.80715e+06
125 0.275 0.325 6.80551e-06 -2.0395e-06 3.37586e-05 1.42931e+06 496.649 2.72666e+06 4.93419e+06
126 0.325 0.325 8.50646e-06 -2.59318e-06 3.38147e-05 1.7835e+06 -9518.07 2.73119e+06 5.05728e+06
127 0.375 0.325 1.02037e-05 -3.09283e-06 3.381e-05 2.14058e+06 -7319.49 2.73081e+06 5.19324e+06
128 0.425 0.325 1.18781e-05 -3.5122e-06 3.38438e-05 2.49795e+06 11824.4 2.73354e+06 5.35042e+06
129 0.475 0.325 1.35065e-05 -3.81849e-06 3.40021e-05 2.85253e+06 53877.3 2.74632e+06 5.53291e+06
130 0.525 0.325 1.50452e-05 -3.95476e-06 3.43832e-05 3.19818e+06 128955 2.7771e+06 5.74191e+06
131 0.575 0.325 1.64143e-05 -3.82632e-06 3.51109e-05 3.52303e+06 253381 2.83588e+06 5.97578e+06
132 0.625 0.325 1.74742e-05 -3.28382e-06 3.63305e-05 3.80516e+06 451946 2.93439e+06 6.22861e+06
133 0.675 0.325 1.79845e-05 -2.10099e-06 3.81625e-05 4.00481e+06 760236 3.08236e+06 6.4865e+06
134 0.725 0.325 1.75388e-05 5.5767e-08 4.05532e-05 4.05128e+06 1.22709e+06 3.27545e+06 6.71811e+06
135 0.775 0.325 1.54879e-05 3.57623e-06 4.28401e-05 3.82172e+06 1.89752e+06 3.46016e+06 6.84635e+06
136 0.825 0.325 1.10098e-05 8.73571e-06 4.28825e-05 3.1455e+06 2.77815e+06 3.46359e+06 6.69797e+06
137 0.875 0.325 3.99402e-06 1.36212e-05 3.50534e-05 1.8647e+06 3.41985e+06 2.83124e+06 5.7309e+06
138 0.925 0.325 -9.54956e-07 1.28884e-05 1.79065e-05 671902 2.90814e+06 1.4463e+06 3.63732e+06
139 0.975 0.325 -6.75093e-07 1.99172e-06 1.37653e-06 -17902.5 412890 111181 463976
140 0.025 0.375 -8.85742e-06 1.50881e-07 2.00211e-05 -2.03357e+06 -578387 1.61709e+06 3.33747e+06
141 0.075 0.375 -8.57747e-06 8.56841e-07 2.53838e-05 -1.9201e+06 -396092 2.05023e+06 3.9615e+06
142 0.125 0.375 -7.60383e-06 1.57244e-06 2.73158e-05 -1.64587e+06 -163549 2.20627e+06 4.13151e+06
143 0.175 0.375 -5.47748e-06 1.47359e-06 2.76916e-05 -1.16202e+06 -39150.5 2.23663e+06 4.03904e+06
144 0.225 0.375 -2.85994e-06 8.22228e-07 2.78599e-05 -603064 -8251.25 2.25022e+06 3.94325e+06
145 0.275 0.375 -6.54417e-08 -4.4501e-09 2.79142e-05 -15410 -5557.53 2.25461e+06 3.90513e+06
146 0.325 0.375 2.78238e-06 -8.725e-07 2.78993e-05 581683 -8719.98 2.25341e+06 3.94677e+06
147 0.375 0.375 5.64004e-06 -1.72206e-06 2.78676e-05 1.18233e+06 -6933.4 2.25084e+06 4.07493e+06
148 0.425 0.375 8.49422e-06 -2.52744e-06 2.78913e-05 1.78523e+06 4804.93 2.25276e+06 4.2899e+06
149 0.475 0.375 1.1339e-05 -3.26613e-06 2.80646e-05 2.39059e+06 31287.8 2.26676e+06 4.58864e+06
150 0.525 0.375 1.41647e-05 -3.90335e-06 2.85179e-05 2.99854e+06 79859 2.30337e+06 4.96736e+06
151 0.575 0.375 1.69476e-05 -4.37886e-06 2.94403e-05 3.60784e+06 162791 2.37787e+06 5.42388e+06
152 0.625 0.375 1.96335e-05 -4.58837e-06 3.11077e-05 4.21315e+06 300387 2.51254e+06 5.95936e+06
153 0.675 0.375 2.20988e-05 -4.34557e-06 3.3908e-05 4.79888e+06 527094 2.73872e+06 6.57871e+06
154 0.725 0.375 2.40602e-05 -3.3128e-06 3.83327e-05 5.323e+06 901210 3.0961e+06 7.28745e+06
155 0.775 0.375 2.48613e-05 -8.08638e-07 4.48187e-05 5.68124e+06 1.53456e+06 3.61997e+06 8.07625e+06
156 0.825 0.375 2.30376e-05 4.20306e-06 5.27833e-05 5.60735e+06 2.56485e+06 4.26327e+06 8.84111e+06
157 0.875 0.375 1.57304e-05 1.39176e-05 5.7873e-05 4.59362e+06 4.30079e+06 4.67436e+06 9.24072e+06
158 0.925 0.375 1.03963e-06 2.06223e-05 3.81335e-05 1.66761e+06 4.83096e+06 3.08001e+06 6.82074e+06
159 0.975 0.375 7.12216e-07 6.56986e-06 5.14107e-06 619194 1.56543e+06 415240 1.54335e+06
160 0.025 0.425 -2.11014e-05 1.4875e-06 2.0186e-05 -4.76656e+06 -1.11759e+06 1.63041e+06 5.15914e+06
161 0.075 0.425 -2.15705e-05 4.17638e-06 2.22641e-05 -4.68868e+06 -529563 1.79826e+06 5.42976e+06
162 0.125 0.425 -1.86883e-05 5.09677e-06 2.00175e-05 -3.95983e+06 -117627 1.6168e+06 4.80316e+06
163 0.175 0.425 -1.49431e-05 4.33475e-06 1.92944e-05 -3.14831e+06 -34195.5 1.55839e+06 4.13414e+06
164 0.225 0.425 -1.10043e-05 3.27107e-06 1.90889e-05 -2.313e+06 -6975.86 1.5418e+06 3.53062e+06
165 0.275 0.425 -7.00875e-06 2.08539e-06 1.90278e-05 -1.47303e+06 -3977.75 1.53686e+06 3.04135e+06
166 0.325 0.425 -3.00011e-06 8.78188e-07 1.89745e-05 -631536 -5041.36 1.53256e+06 2.72798e+06
167 0.375 0.425 1.00877e-06 -3.22728e-07 1.89197e-05 210450 -4637.71 1.52813e+06 2.65534e+06
168 0.425 0.425 5.01944e-06 -1.50574e-06 1.89056e-05 1.05409e+06 21.3735 1.52699e+06 2.84714e+06
169 0.475 0.425 9.04524e-06 -2.66509e-06 1.90062e-05 1.90286e+06 11187.8 1.53512e+06 3.26642e+06
170 0.525 0.425 1.31126e-05 -3.79371e-06 1.93336e-05 2.76334e+06 32320.6 1.56156e+06 3.85528e+06
171 0.575 0.425 1.72646e-05 -4.87866e-06 2.00611e-05 3.64638e+06 69396.1 1.62032e+06 4.57429e+06
172 0.625 0.425 2.15654e-05 -5.8932e-06 2.14657e-05 4.56865e+06 133022 1.73377e+06 5.41298e+06
173 0.675 0.425 2.61004e-05 -6.77966e-06 2.40017e-05 5.55381e+06 242415 1.9386e+06 6.38997e+06
