# Element stress/strain results
# ElemID CenterX CenterY StrainX StrainY ShearXY StressX StressY ShearXY VonMises
101 0.075 0.275 2.64966e-05 -3.5358e-06 -1.00071e-06 5.86981e+06 1.01843e+06 -80826.5 5.43447e+06
102 0.125 0.275 2.76781e-05 -5.52873e-06 -6.64599e-07 6.0045e+06 640315 -53679.2 5.71208e+06
103 0.175 0.275 2.84524e-05 -7.01219e-06 -3.05513e-07 6.08048e+06 351583 -24676 5.91269e+06
104 0.225 0.275 2.88541e-05 -7.98715e-06 -4.17666e-08 6.10568e+06 154402 -3373.46 6.02996e+06
105 0.275 0.275 2.90073e-05 -8.58402e-06 8.66096e-08 6.09971e+06 27270.7 6995.39 6.08614e+06
106 0.325 0.275 2.9056e-05 -8.97507e-06 9.14896e-08 6.08388e+06 -59602.3 7389.54 6.11391e+06
107 0.375 0.275 2.91232e-05 -9.32073e-06 -4.75883e-09 6.07545e+06 -134717 -384.367 6.14392e+06
108 0.425 0.275 2.93159e-05 -9.7575e-06 -1.99679e-07 6.08968e+06 -222171 -16127.9 6.20381e+06
109 0.475 0.275 2.97417e-05 -1.0405e-05 -5.12657e-07 6.14312e+06 -342117 -41406.9 6.32154e+06
110 0.525 0.275 3.05247e-05 -1.13707e-05 -9.82185e-07 6.25696e+06 -510755 -79330.3 6.52879e+06
111 0.575 0.275 3.1815e-05 -1.27442e-05 -1.66266e-06 6.45963e+06 -738399 -134292 6.86265e+06
112 0.625 0.275 3.37937e-05 -1.45798e-05 -2.62635e-06 6.78917e+06 -1.02501e+06 -212129 7.36461e+06
113 0.675 0.275 3.66801e-05 -1.68702e-05 -3.98436e-06 7.29671e+06 -1.35372e+06 -321814 8.07855e+06
114 0.725 0.275 4.07678e-05 -1.95323e-05 -5.96667e-06 8.05573e+06 -1.68506e+06 -481923 9.05568e+06
115 0.775 0.275 4.6551e-05 -2.24325e-05 -9.1316e-06 9.18952e+06 -1.95397e+06 -737552 1.03852e+07
116 0.825 0.275 5.50829e-05 -2.55271e-05 -1.5105e-05 1.09442e+07 -2.07744e+06 -1.22002e+06 1.23001e+07
117 0.875 0.275 6.87588e-05 -2.86326e-05 -2.81134e-05 1.38852e+07 -1.8473e+06 -2.27069e+06 1.54055e+07
118 0.925 0.275 9.37825e-05 -3.24931e-05 -7.29176e-05 1.93926e+07 -1.00576e+06 -5.8895e+06 2.23751e+07
119 0.975 0.275 0.000124004 1.81791e-05 -0.000192583 2.98748e+07 1.278e+07 -1.55548e+07 3.74151e+07
120 0.025 0.325 2.51638e-05 -1.31261e-06 -3.62913e-06 5.71615e+06 1.4392e+06 -293122 5.17462e+06
121 0.075 0.325 2.67252e-05 -3.80734e-06 -3.01707e-06 5.90376e+06 971588 -243687 5.49914e+06
122 0.125 0.325 2.78863e-05 -5.85889e-06 -1.9056e-06 6.02969e+06 578539 -153914 5.76841e+06
123 0.175 0.325 2.85592e-05 -7.26912e-06 -7.90658e-07 6.08735e+06 299689 -63860.9 5.9442e+06
124 0.225 0.325 2.88393e-05 -8.11397e-06 -3.04724e-08 6.09349e+06 124112 -2461.24 6.03239e+06
125 0.275 0.325 2.89168e-05 -8.59563e-06 3.01382e-07 6.07802e+06 18321.9 24342.4 6.06902e+06
126 0.325 0.325 2.89228e-05 -8.90238e-06 2.99597e-07 6.05818e+06 -52045.1 24198.3 6.08452e+06
127 0.375 0.325 2.89478e-05 -9.17305e-06 3.28012e-08 6.04521e+06 -112778 2649.33 6.10238e+06
128 0.425 0.325 2.90652e-05 -9.51896e-06 -4.92359e-07 6.04835e+06 -184478 -39767.4 6.14305e+06
129 0.475 0.325 2.93495e-05 -1.00359e-05 -1.33159e-06 6.07816e+06 -284097 -107551 6.22786e+06
130 0.525 0.325 2.98882e-05 -1.08093e-05 -2.59227e-06 6.14895e+06 -425261 -209376 6.38254e+06
131 0.575 0.325 3.07873e-05 -1.19063e-05 -4.42186e-06 6.28047e+06 -616183 -357150 6.63902e+06
132 0.625 0.325 3.2166e-05 -1.3351e-05 -7.00153e-06 6.49862e+06 -854130 -565508 7.03361e+06
